filename,words
image_1.png,CARGO MANIFEST
image_2.png,ГРУЗОВОЙ МАНИФЕСТ
image_3.png,VESSEL*S NAME
image_4.png,PAROM
image_5.png,'BERKARAR" No 43
image_6.png,FROM TO
image_7.png,TURKMENBASHI-ALYAT
image_8.png,Shipowner/Судовлалелец
image_9.png,Vessel судно
image_10.png,Port of Loading/
image_11.png,Port/discharge
image_12.png,Date
image_13.png,Управленне Туркменского
image_14.png,BERKARAR"" No 43
image_15.png,потрузки
image_16.png,выгрузки
image_17.png,Морского торгового флота
image_18.png,Дата
image_19.png,arrier/Перевозчнк
image_20.png,Туркменбаши
image_21.png,Порт Алят
image_22.png,17.04.2024r
image_23.png,WEIGHT /KG
image_24.png,Shippers
image_25.png,CONSIGNEE
image_26.png,GROSS WEIGHT
image_27.png,LENGTH/M
image_28.png,NETTO
image_29.png,GROSS
image_30.png,PRISEP/CAR
image_31.png,KG
image_32.png,ETR
image_33.png,TURKMENISTAN
image_34.png,TURKEY
image_35.png,SAPAROW SAPAR
image_36.png,EA2718AH/АН6672TR
image_37.png,SYGYR DERISI
image_38.png,"0,00"
image_39.png,"24000,00"
image_40.png,"14000,00"
image_41.png,"38000,00"
image_42.png,"16,5"
image_43.png,TURKMENISTAN
image_44.png,TURKEY
image_45.png,OWEZOW JANMYRAT
image_46.png,AUб968AH/AH6274TR
image_47.png,POTASSIUM CHLORIDE
image_48.png,"22372,00"
image_49.png,"22400,00"
image_50.png,"14000,00"
image_51.png,"36400,00"
image_52.png,"16,5"
image_53.png,TURKMENISTAN
image_54.png,TURKEY
image_55.png,BAYLYYEW YAZBERDI
image_56.png,5103AGI/6806TAG
image_57.png,ТРАНСФОРМАТОР
image_58.png,"5710,00"
image_59.png,"2710,00"
image_60.png,"14000,00"
image_61.png,"16710,00"
image_62.png,"16,5"
image_63.png,TURKMENISTAN
image_64.png,TURKEY
image_65.png,ANNAMUHAMMEDOW YLYAS
image_66.png,9273AGG/5341TAG
image_67.png,COTTON GREY CLOTH
image_68.png,"20845,00"
image_69.png,"20952,00"
image_70.png,"14000,00"
image_71.png,"34952,00"
image_72.png,"16,5"
image_73.png,TURKMENISTAN
image_74.png,TURKEY
image_75.png,OWEZNEPESOW CHARY
